"filename", "language", "JSON", "JSON with Comments", "TypeScript", "CSS", "HTML", "XML", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\services\inventario.service.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 11, 48
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\services\producto.service.ts", "TypeScript", 0, 0, 143, 0, 0, 0, 0, 0, 0, 34, 177
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\services\reporte.service.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 7, 30
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\services\rol.service.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 9, 42
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\services\usuario.service.ts", "TypeScript", 0, 0, 69, 0, 0, 0, 0, 0, 0, 15, 84
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\services\ventas.service.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 6, 31
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\css\spectrum.css", "CSS", 0, 0, 0, 438, 0, 0, 0, 0, 28, 42, 508
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\css\style.bundle.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\css\style.bundle.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 24, 15, 4, 43
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\css\style.bundle.rtl.css", "CSS", 0, 0, 0, 43238, 0, 0, 0, 0, 3, 7672, 50913
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\css\style.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\JsBarcode.all.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\account\api-keys\api-keys.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\account\orders\classic.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\account\referrals\referral-program.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\account\security\license-usage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\js\custom\account\security\security-summary.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
